Category,City,Country,Country Abbr,Current Year(Today),Customer,Customer ID,Customer Name,Order Date (DMY),Order Date (MDY),Order ID,Order ID1,Postal Code,Prior Year(Today),Product ID,Product Name,Purple Product,Region,Returned,Row ID,Segment,Sheet,Ship Date (DMY),Ship Date (MDY),Ship Date MDY - String,Ship Mode,Ship Mode (group),State,Sub-Category,Sub-Category (group),Table Name,Average Sales,Discount,Discount (copy),Number of Records,Order Count,Order Count Distinct,Profit,Profit %,Profit % - Row Level,Profit % Full,Profit %- Dynamic Aggregation,Quantity,Quantity Threshold,Sales,Test Set Calculation,Top Tier Color
Furniture,Henderson,United States,,2022,ARTHUR PRICHEP,AP-10915,Arthur Prichep,11/3/2017,11/3/2017,,CA-2017-168893,42420,2021,FUR-TA-10003392,Global Adaptabilities Conference Tables,False,South,,4435,Consumer,Orders,8/11/2017,11/8/2017,2017-11-08,Second Class,Basic,Kentucky,Tables,Tables,Orders,842.94,0,0,1,0,0,160.1586,0.19,0.19,19,0.19,3,3,842.94,0,All Other
Furniture,Louisville,United States,,2022,JONI WASSERMAN,JW-15955,Joni Wasserman,12/25/2018,12/25/2018,,CA-2018-163510,40214,2021,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",False,South,,2004,Consumer,Orders,28/12/2018,12/28/2018,2018-12-28,Second Class,Basic,Kentucky,Chairs,Chairs,Orders,304.45,0,0,1,0,0,76.1125,0.25,0.25,25,0.25,5,5,304.45,0,All Other
Furniture,Henderson,United States,,2022,ARTHUR PRICHEP,AP-10915,Arthur Prichep,11/3/2017,11/3/2017,,CA-2017-168893,42420,2021,FUR-FU-10002885,Magna Visual Magnetic Picture Hangers,False,South,,4433,Consumer,Orders,8/11/2017,11/8/2017,2017-11-08,Second Class,Basic,Kentucky,Furnishings,Furnishings,Orders,24.1,0,0,1,0,0,9.158,0.38,0.38,38,0.38,5,5,24.1,0,All Other
Furniture,Lafayette,United States,,2022,SETH VERNON,SV-20365,Seth Vernon,8/6/2018,8/6/2018,,CA-2018-161200,70506,2021,FUR-FU-10001706,Longer-Life Soft White Bulbs,False,South,,1934,Consumer,Orders,10/8/2018,8/10/2018,2018-08-10,Second Class,Basic,Louisiana,Furnishings,Furnishings,Orders,15.4,0,0,1,0,0,7.392,0.48,0.48,48,0.48,5,5,15.4,15.4,All Other
Furniture,Springfield,United States,,2022,LOGAN CURRIE,LC-17140,Logan Currie,12/23/2017,12/23/2017,,CA-2017-137043,22153,2021,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",False,South,,1301,Consumer,Orders,25/12/2017,12/25/2017,2017-12-25,Second Class,Basic,Virginia,Furnishings,Furnishings,Orders,572.76,0,0,1,0,0,166.1004,0.29,0.29,29,0.29,6,6,572.76,0,All Other
Furniture,Sandy Springs,United States,,2022,PHILIP FOX,PF-19165,Philip Fox,6/30/2017,6/30/2017,,CA-2017-162355,30328,2021,FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,False,South,,8232,Consumer,Orders,2/7/2017,7/2/2017,2017-07-02,Second Class,Basic,Georgia,Bookcases,Bookcases,Orders,1266.86,0,0,1,0,0,291.3778,0.23,0.23,23,0.23,7,7,1266.86,0,All Other
Furniture,Arlington,United States,,2022,SANJIT ENGLE,SE-20110,Sanjit Engle,2/2/2017,2/2/2017,,CA-2017-158841,22204,2021,FUR-FU-10001731,Acrylic Self-Standing Desk Frames,False,South,,8491,Consumer,Orders,4/2/2017,2/4/2017,2017-02-04,Second Class,Basic,Virginia,Furnishings,Furnishings,Orders,18.69,0,0,1,0,0,7.1022,0.38,0.38,38,0.38,7,7,18.69,0,All Other
Furniture,Louisville,United States,,2022,KATHERINE HUGHES,KH-16360,Katherine Hughes,12/29/2018,12/29/2018,,US-2018-158526,40214,2021,FUR-CH-10002602,DMI Arturo Collection Mission-style Design Wood Chair,False,South,,7633,Consumer,Orders,1/1/2019,1/1/2019,2019-01-01,Second Class,Basic,Kentucky,Chairs,Chairs,Orders,1207.84,0,0,1,0,0,314.0384,0.26,0.26,26,0.26,8,8,1207.84,0,All Other
Furniture,Fayetteville,United States,,2022,CHRISTOPHER CONANT,CC-12370,Christopher Conant,8/15/2017,8/15/2017,,CA-2017-154690,28314,2021,FUR-CH-10000988,Hon Olson Stacker Stools,False,South,,2858,Consumer,Orders,17/8/2017,8/17/2017,2017-08-17,Second Class,Basic,North Carolina,Chairs,Chairs,Orders,225.296,0.2,0.2,1,0,0,22.5296,0.1,0.1,10,0.1,2,2,225.296,0,All Other
Furniture,Tallahassee,United States,,2022,PATRICK O'BRILL,PO-18850,Patrick O'Brill,8/23/2018,8/23/2018,,CA-2018-129021,32303,2021,FUR-FU-10001852,"Eldon Regeneration Recycled Desk Accessories, Smoke",False,South,,4301,Consumer,Orders,26/8/2018,8/26/2018,2018-08-26,Second Class,Basic,Florida,Furnishings,Furnishings,Orders,2.784,0.2,0.2,1,0,0,0.4176,0.15,0.15,15,0.15,2,2,2.784,0,All Other
Furniture,Fayetteville,United States,,2022,JILL FJELD,JF-15565,Jill Fjeld,11/6/2018,11/6/2018,,CA-2018-167941,28314,2021,FUR-FU-10004671,"Executive Impressions 12"" Wall Clock",False,South,,2972,Consumer,Orders,9/11/2018,11/9/2018,2018-11-09,Second Class,Basic,North Carolina,Furnishings,Furnishings,Orders,28.272,0.2,0.2,1,0,0,6.3612,0.225,0.225,22.5,0.225,2,2,28.272,0,All Other
Furniture,Jacksonville,United States,,2022,MIKE GOCKENBACH,MG-18145,Mike Gockenbach,7/27/2018,7/27/2018,,CA-2018-123239,32216,2021,FUR-FU-10001602,"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",False,South,,4126,Consumer,Orders,31/7/2018,7/31/2018,2018-07-31,Second Class,Basic,Florida,Furnishings,Furnishings,Orders,91.032,0.2,0.2,1,0,0,-2.275800000,-0.025000000,-0.025000000,-2.500000000,-0.025000000,3,3,91.032,0,All Other
Furniture,Fayetteville,United States,,2022,JANET MARTIN,JM-15250,Janet Martin,10/28/2018,10/28/2018,,CA-2018-139353,28314,2021,FUR-FU-10001876,"Computer Room Manger, 14""",False,South,,7712,Consumer,Orders,30/10/2018,10/30/2018,2018-10-30,Second Class,Basic,North Carolina,Furnishings,Furnishings,Orders,77.952,0.2,0.2,1,0,0,15.5904,0.2,0.2,20,0.2,3,3,77.952,0,All Other
Furniture,Raleigh,United States,,2022,JONI WASSERMAN,JW-15955,Joni Wasserman,7/27/2018,7/27/2018,,CA-2018-107209,27604,2021,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",False,South,,9808,Consumer,Orders,1/8/2018,8/1/2018,2018-08-01,Second Class,Basic,North Carolina,Chairs,Chairs,Orders,194.848,0.2,0.2,1,0,0,12.178,0.062500000,0.062500000,6.250000000,0.062500000,4,4,194.848,0,All Other
Furniture,Auburn,United States,,2022,ANNE MCFARLAND,AM-10705,Anne McFarland,9/18/2017,9/18/2017,,CA-2017-145905,36830,2021,FUR-CH-10001854,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,False,South,,2014,Consumer,Orders,23/9/2017,9/23/2017,2017-09-23,Standard Class,Basic,Alabama,Chairs,Chairs,Orders,350.98,0,0,1,0,0,84.2352,0.24,0.24,24,0.24,1,1,350.98,0,All Other
Furniture,Columbus,United States,,2022,ANEMONE RATNER,AR-10570,Anemone Ratner,7/14/2017,7/14/2017,,CA-2017-157588,31907,2021,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",False,South,,6958,Consumer,Orders,19/7/2017,7/19/2017,2017-07-19,Standard Class,Basic,Georgia,Furnishings,Furnishings,Orders,51.75,0,0,1,0,0,15.525,0.3,0.3,30,0.3,1,1,51.75,0,All Other
Furniture,Columbus,United States,,2022,CHUCK SACHS,CS-12460,Chuck Sachs,7/3/2018,7/3/2018,,US-2018-126179,31907,2021,FUR-FU-10002554,"Westinghouse Floor Lamp with Metal Mesh Shade, Black",False,South,,1304,Consumer,Orders,7/7/2018,7/7/2018,2018-07-07,Standard Class,Basic,Georgia,Furnishings,Furnishings,Orders,23.99,0,0,1,0,0,5.5177,0.23,0.23,23,0.23,1,1,23.99,0,All Other
Furniture,Salem,United States,,2022,ANNE MCFARLAND,AM-10705,Anne McFarland,7/21/2018,7/21/2018,,CA-2018-104731,24153,2021,FUR-BO-10003441,"Bush Westfield Collection Bookcases, Fully Assembled",False,South,,6588,Consumer,Orders,27/7/2018,7/27/2018,2018-07-27,Standard Class,Basic,Virginia,Bookcases,Bookcases,Orders,302.94,0,0,1,0,0,69.6762,0.23,0.23,23,0.23,3,3,302.94,0,All Other
Furniture,Athens,United States,,2022,XYLONA PREIS,XP-21865,Xylona Preis,8/26/2017,8/26/2017,,CA-2017-163174,30605,2021,FUR-FU-10000308,Deflect-o Glass Clear Studded Chair Mats,False,South,,8357,Consumer,Orders,30/8/2017,8/30/2017,2017-08-30,Standard Class,Basic,Georgia,Furnishings,Furnishings,Orders,186.54,0,0,1,0,0,41.0388,0.22,0.22,22,0.22,3,3,186.54,0,All Other
Furniture,Georgetown,United States,,2022,ANNA ANDREADI,AA-10645,Anna Andreadi,9/4/2017,9/4/2017,,CA-2017-131205,40324,2021,FUR-FU-10003347,Coloredge Poster Frame,False,South,,6037,Consumer,Orders,8/9/2017,9/8/2017,2017-09-08,Standard Class,Basic,Kentucky,Furnishings,Furnishings,Orders,42.6,0,0,1,0,0,16.614,0.39,0.39,39,0.39,3,3,42.6,0,All Other
Furniture,Chesapeake,United States,,2022,MICHAEL MOORE,MM-17920,Michael Moore,9/5/2017,9/5/2017,,US-2017-121013,23320,2021,FUR-TA-10003238,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",False,South,,6877,Consumer,Orders,10/9/2017,9/10/2017,2017-09-10,Standard Class,Basic,Virginia,Tables,Tables,Orders,1652.94,0,0,1,0,0,314.0586,0.19,0.19,19,0.19,3,3,1652.94,0,All Other
Furniture,Richmond,United States,,2022,LIZ CARLISLE,LC-17050,Liz Carlisle,2/3/2017,2/3/2017,,CA-2017-118514,40475,2021,FUR-CH-10000015,Hon Multipurpose Stacking Arm Chairs,False,South,,5754,Consumer,Orders,10/2/2017,2/10/2017,2017-02-10,Standard Class,Basic,Kentucky,Chairs,Chairs,Orders,866.4,0,0,1,0,0,225.264,0.26,0.26,26,0.26,4,4,866.4,0,All Other
Furniture,Lafayette,United States,,2022,CHRISTINE SUNDARESAM,CS-12355,Christine Sundaresam,12/24/2018,12/24/2018,,CA-2018-124296,70506,2021,FUR-CH-10002439,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",False,South,,4031,Consumer,Orders,28/12/2018,12/28/2018,2018-12-28,Standard Class,Basic,Louisiana,Chairs,Chairs,Orders,232.88,0,0,1,0,0,60.5488,0.26,0.26,26,0.26,4,4,232.88,0,All Other
Furniture,Columbus,United States,,2022,BRADLEY DRUCKER,BD-11500,Bradley Drucker,1/26/2018,1/26/2018,,US-2018-105935,31907,2021,FUR-FU-10002157,Artistic Insta-Plaque,False,South,,8312,Consumer,Orders,31/1/2018,1/31/2018,2018-01-31,Standard Class,Basic,Georgia,Furnishings,Furnishings,Orders,62.72,0,0,1,0,0,24.4608,0.39,0.39,39,0.39,4,4,62.72,0,All Other
Furniture,Henderson,United States,,2022,GIULIETTA WEIMER,GW-14605,Giulietta Weimer,2/16/2017,2/16/2017,,CA-2017-108105,42420,2021,FUR-FU-10003773,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,False,South,,9079,Consumer,Orders,23/2/2017,2/23/2017,2017-02-23,Standard Class,Basic,Kentucky,Furnishings,Furnishings,Orders,318.08,0,0,1,0,0,34.9888,0.11,0.11,11,0.11,4,4,318.08,0,All Other
Furniture,Springfield,United States,,2022,BRIAN DAHLEN,BD-11605,Brian Dahlen,4/12/2017,4/12/2017,,CA-2017-112102,22153,2021,FUR-TA-10004086,KI Adjustable-Height Table,False,South,,1130,Consumer,Orders,16/4/2017,4/16/2017,2017-04-16,Standard Class,Basic,Virginia,Tables,Tables,Orders,343.92,0,0,1,0,0,75.6624,0.22,0.22,22,0.22,4,4,343.92,0,All Other
Furniture,Hattiesburg,United States,,2022,JOY SMITH,JS-16030,Joy Smith,7/19/2017,7/19/2017,,CA-2017-163776,39401,2021,FUR-BO-10003546,Hon 4-Shelf Metal Bookcases,False,South,,5990,Consumer,Orders,25/7/2017,7/25/2017,2017-07-25,Standard Class,Basic,Mississippi,Bookcases,Bookcases,Orders,504.9,0,0,1,0,0,126.225,0.25,0.25,25,0.25,5,5,504.9,0,All Other
Furniture,Chesapeake,United States,,2022,ARIANNE IRVING,AI-10855,Arianne Irving,12/17/2018,12/17/2018,,CA-2018-116855,23320,2021,FUR-CH-10003846,Hon Valutask Swivel Chairs,False,South,,3029,Consumer,Orders,21/12/2018,12/21/2018,2018-12-21,Standard Class,Basic,Virginia,Chairs,Chairs,Orders,504.9,0,0,1,0,0,80.784,0.16,0.16,16,0.16,5,5,504.9,0,All Other
Furniture,Fayetteville,United States,,2022,TRUDY SCHMIDT,TS-21655,Trudy Schmidt,12/25/2017,12/25/2017,,CA-2017-148684,72701,2021,FUR-FU-10003553,"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",False,South,,7892,Consumer,Orders,29/12/2017,12/29/2017,2017-12-29,Standard Class,Basic,Arkansas,Furnishings,Furnishings,Orders,343.85,0,0,1,0,0,137.54,0.4,0.4,40,0.4,5,5,343.85,0,All Other
Furniture,Salem,United States,,2022,ANNE MCFARLAND,AM-10705,Anne McFarland,7/21/2018,7/21/2018,,CA-2018-104731,24153,2021,FUR-FU-10003274,Regeneration Desk Collection,False,South,,6586,Consumer,Orders,27/7/2018,7/27/2018,2018-07-27,Standard Class,Basic,Virginia,Furnishings,Furnishings,Orders,8.8,0,0,1,0,0,3.872,0.44,0.44,44,0.44,5,5,8.8,0,All Other
Furniture,Virginia Beach,United States,,2022,OLVERA TOCH,OT-18730,Olvera Toch,10/26/2018,10/26/2018,,CA-2018-162173,23464,2021,FUR-TA-10001520,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",False,South,,6664,Consumer,Orders,1/11/2018,11/1/2018,2018-11-01,Standard Class,Basic,Virginia,Tables,Tables,Orders,356.85,0,0,1,0,0,60.6645,0.17,0.17,17,0.17,5,5,356.85,0,All Other
Furniture,Henderson,United States,,2022,ADRIAN BARTON,AB-10105,Adrian Barton,11/19/2018,11/19/2018,,CA-2018-101042,42420,2021,FUR-FU-10004665,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",False,South,,2552,Consumer,Orders,23/11/2018,11/23/2018,2018-11-23,Standard Class,Basic,Kentucky,Furnishings,Furnishings,Orders,821.88,0,0,1,0,0,213.6888,0.26,0.26,26,0.26,6,6,821.88,0,All Other
Furniture,Hattiesburg,United States,,2022,JOY SMITH,JS-16030,Joy Smith,7/19/2017,7/19/2017,,CA-2017-163776,39401,2021,FUR-FU-10001185,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",False,South,,5985,Consumer,Orders,25/7/2017,7/25/2017,2017-07-25,Standard Class,Basic,Mississippi,Furnishings,Furnishings,Orders,185.58,0,0,1,0,0,76.0878,0.41,0.41,41,0.41,6,6,185.58,0,All Other
Furniture,Jackson,United States,,2022,MICHAEL CHEN,MC-17845,Michael Chen,12/14/2017,12/14/2017,,CA-2017-146143,39212,2021,FUR-FU-10002045,"Executive Impressions 14""",False,South,,3469,Consumer,Orders,19/12/2017,12/19/2017,2017-12-19,Standard Class,Basic,Mississippi,Furnishings,Furnishings,Orders,133.38,0,0,1,0,0,58.6872,0.44,0.44,44,0.44,6,6,133.38,0,All Other
Furniture,Richmond,United States,,2022,DEBRA CATINI,DC-13285,Debra Catini,12/7/2018,12/7/2018,,US-2018-136189,23223,2021,FUR-FU-10000175,DAX Wood Document Frame.,False,South,,4319,Consumer,Orders,11/12/2018,12/11/2018,2018-12-11,Standard Class,Basic,Virginia,Furnishings,Furnishings,Orders,82.38,0,0,1,0,0,25.5378,0.31,0.31,31,0.31,6,6,82.38,0,All Other
Furniture,Jackson,United States,,2022,MEG TILLMAN,MT-17815,Meg Tillman,7/25/2017,7/25/2017,,CA-2017-104157,39212,2021,FUR-TA-10004915,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",False,South,,3581,Consumer,Orders,29/7/2017,7/29/2017,2017-07-29,Standard Class,Basic,Mississippi,Tables,Tables,Orders,2430.08,0,0,1,0,0,388.8128,0.16,0.16,16,0.16,8,8,2430.08,0,All Other
Furniture,Atlanta,United States,,2022,SHAHID COLLISTER,SC-20380,Shahid Collister,5/19/2018,5/19/2018,,CA-2018-138975,30318,2021,FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,False,South,,2861,Consumer,Orders,23/5/2018,5/23/2018,2018-05-23,Standard Class,Basic,Georgia,Bookcases,Bookcases,Orders,1628.82,0,0,1,0,0,374.6286,0.23,0.23,23,0.23,9,9,1628.82,0,All Other
Furniture,Jacksonville,United States,,2022,NATHAN CANO,NC-18415,Nathan Cano,10/14/2017,10/14/2017,,CA-2017-156503,28540,2021,FUR-CH-10003606,SAFCO Folding Chair Trolley,False,South,,3801,Consumer,Orders,20/10/2017,10/20/2017,2017-10-20,Standard Class,Basic,North Carolina,Chairs,Chairs,Orders,102.592,0.2,0.2,1,0,0,10.2592,0.1,0.1,10,0.1,1,1,102.592,0,All Other
Furniture,Memphis,United States,,2022,DAN CAMPBELL,DC-12850,Dan Campbell,8/13/2018,8/13/2018,,CA-2018-128363,38109,2021,FUR-FU-10003268,Eldon Radial Chair Mat for Low to Medium Pile Carpets,False,South,,7902,Consumer,Orders,18/8/2018,8/18/2018,2018-08-18,Standard Class,Basic,Tennessee,Furnishings,Furnishings,Orders,31.984,0.2,0.2,1,0,0,0,0,0,0,0,1,1,31.984,0,All Other
Furniture,Pembroke Pines,United States,,2022,NICK RADFORD,NR-18550,Nick Radford,6/3/2018,6/3/2018,,CA-2018-140872,33024,2021,FUR-BO-10002824,Bush Mission Pointe Library,False,South,,6482,Consumer,Orders,10/6/2018,6/10/2018,2018-06-10,Standard Class,Basic,Florida,Bookcases,Bookcases,Orders,241.568,0.2,0.2,1,0,0,0,0,0,0,0,2,2,241.568,0,All Other
Furniture,Monroe,United States,,2022,JOE ELIJAH,JE-15715,Joe Elijah,6/15/2018,6/15/2018,,CA-2018-126914,28110,2021,FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,False,South,,8790,Consumer,Orders,19/6/2018,6/19/2018,2018-06-19,Standard Class,Basic,North Carolina,Bookcases,Bookcases,Orders,77.728,0.2,0.2,1,0,0,-3.886400000,-0.050000000,-0.050000000,-5.000000000,-0.050000000,2,2,77.728,0,All Other
Furniture,Boynton Beach,United States,,2022,DOUG O'CONNELL,DO-13645,Doug O'Connell,9/4/2018,9/4/2018,,US-2018-117450,33437,2021,FUR-CH-10003817,"Global Value Steno Chair, Gray",False,South,,7304,Consumer,Orders,8/9/2018,9/8/2018,2018-09-08,Standard Class,Basic,Florida,Chairs,Chairs,Orders,97.184,0.2,0.2,1,0,0,6.074,0.0625,0.0625,6.25,0.0625,2,2,97.184,0,All Other
Furniture,Greenville,United States,,2022,SCOT WOOTEN,SW-20245,Scot Wooten,2/25/2018,2/25/2018,,US-2018-134642,27834,2021,FUR-CH-10002880,"Global High-Back Leather Tilter, Burgundy",False,South,,7534,Consumer,Orders,1/3/2018,3/1/2018,2018-03-01,Standard Class,Basic,North Carolina,Chairs,Chairs,Orders,196.784,0.2,0.2,1,0,0,-22.1382,-0.1125,-0.1125,-11.25,-0.1125,2,2,196.784,0,All Other
Furniture,Chattanooga,United States,,2022,TED TREVINO,TT-21070,Ted Trevino,11/29/2018,11/29/2018,,CA-2018-108035,37421,2021,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",False,South,,7390,Consumer,Orders,3/12/2018,12/3/2018,2018-12-03,Standard Class,Basic,Tennessee,Chairs,Chairs,Orders,390.368,0.2,0.2,1,0,0,48.796,0.125,0.125,12.5,0.125,2,2,390.368,0,All Other
Furniture,Jackson,United States,,2022,ERICA SMITH,ES-14020,Erica Smith,11/20/2018,11/20/2018,,CA-2018-103499,38301,2021,FUR-CH-10001482,Office Star - Mesh Screen back chair with Vinyl seat,False,South,,4753,Consumer,Orders,24/11/2018,11/24/2018,2018-11-24,Standard Class,Basic,Tennessee,Chairs,Chairs,Orders,209.568,0.2,0.2,1,0,0,-23.5764,-0.1125,-0.1125,-11.25,-0.1125,2,2,209.568,0,All Other
Furniture,Memphis,United States,,2022,DAN CAMPBELL,DC-12850,Dan Campbell,8/13/2018,8/13/2018,,CA-2018-128363,38109,2021,FUR-CH-10002073,Hon Olson Stacker Chairs,False,South,,7904,Consumer,Orders,18/8/2018,8/18/2018,2018-08-18,Standard Class,Basic,Tennessee,Chairs,Chairs,Orders,423.648,0.2,0.2,1,0,0,47.6604,0.1125,0.1125,11.25,0.1125,2,2,423.648,0,All Other
Furniture,Saint Petersburg,United States,,2022,LENA CREIGHTON,LC-16885,Lena Creighton,6/12/2018,6/12/2018,,CA-2018-143861,33710,2021,FUR-FU-10001546,Dana Swing-Arm Lamps,False,South,,2870,Consumer,Orders,19/6/2018,6/19/2018,2018-06-19,Standard Class,Basic,Florida,Furnishings,Furnishings,Orders,17.088,0.2,0.2,1,0,0,1.068,0.0625,0.0625,6.25,0.0625,2,2,17.088,0,All Other
Furniture,Tampa,United States,,2022,SHAUN WEIEN,SW-20455,Shaun Weien,7/17/2018,7/17/2018,,CA-2018-139948,33614,2021,FUR-FU-10002597,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",False,South,,2440,Consumer,Orders,22/7/2018,7/22/2018,2018-07-22,Standard Class,Basic,Florida,Furnishings,Furnishings,Orders,7.904,0.2,0.2,1,0,0,2.1736,0.275,0.275,27.5,0.275,2,2,7.904,0,All Other
Furniture,Charlotte,United States,,2022,NATALIE FRITZLER,NF-18385,Natalie Fritzler,7/16/2018,7/16/2018,,US-2018-152842,28205,2021,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",False,South,,9830,Consumer,Orders,23/7/2018,7/23/2018,2018-07-23,Standard Class,Basic,North Carolina,Chairs,Chairs,Orders,242.352,0.2,0.2,1,0,0,15.147,0.0625,0.0625,6.25,0.0625,3,3,242.352,0,All Other
Furniture,Monroe,United States,,2022,JOE ELIJAH,JE-15715,Joe Elijah,6/15/2018,6/15/2018,,CA-2018-126914,28110,2021,FUR-CH-10000847,Global Executive Mid-Back Manager's Chair,False,South,,8789,Consumer,Orders,19/6/2018,6/19/2018,2018-06-19,Standard Class,Basic,North Carolina,Chairs,Chairs,Orders,698.352,0.2,0.2,1,0,0,52.3764,0.075000000,0.075000000,7.500000000,0.075000000,3,3,698.352,0,All Other
Furniture,Miami,United States,,2022,ZUSCHUSS CARROLL,ZC-21910,Zuschuss Carroll,3/8/2017,3/8/2017,,CA-2017-169103,33142,2021,FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",False,South,,1048,Consumer,Orders,13/3/2017,3/13/2017,2017-03-13,Standard Class,Basic,Florida,Furnishings,Furnishings,Orders,102.36,0.2,0.2,1,0,0,-3.838500000,-0.037500000,-0.037500000,-3.750000000,-0.037500000,3,3,102.36,0,All Other
Furniture,Columbia,United States,,2022,SEAN O'DONNELL,SO-20335,Sean O'Donnell,9/9/2018,9/9/2018,,CA-2018-147228,38401,2021,FUR-FU-10000023,Eldon Wave Desk Accessories,False,South,,4626,Consumer,Orders,14/9/2018,9/14/2018,2018-09-14,Standard Class,Basic,Tennessee,Furnishings,Furnishings,Orders,14.136,0.2,0.2,1,0,0,4.2408,0.3,0.3,30,0.3,3,3,14.136,0,All Other
Furniture,Nashville,United States,,2022,RAYMOND BUCH,RB-19360,Raymond Buch,5/29/2017,5/29/2017,,CA-2017-156573,37211,2021,FUR-FU-10001085,3M Polarizing Light Filter Sleeves,False,South,,3960,Consumer,Orders,2/6/2017,6/2/2017,2017-06-02,Standard Class,Basic,Tennessee,Furnishings,Furnishings,Orders,44.76,0.2,0.2,1,0,0,14.547,0.325,0.325,32.5,0.325,3,3,44.76,44.76,All Other
Furniture,Fayetteville,United States,,2022,CARLOS MEADOR,CM-11935,Carlos Meador,1/22/2017,1/22/2017,,US-2017-135923,28314,2021,FUR-BO-10002213,"Sauder Forest Hills Library, Woodland Oak Finish",False,South,,2472,Consumer,Orders,28/1/2017,1/28/2017,2017-01-28,Standard Class,Basic,North Carolina,Bookcases,Bookcases,Orders,451.136,0.2,0.2,1,0,0,-67.6704,-0.15,-0.15,-15,-0.15,4,4,451.136,0,All Other
Furniture,Miami,United States,,2022,EMILY BURNS,EB-13870,Emily Burns,1/30/2018,1/30/2018,,CA-2018-148999,33142,2021,FUR-CH-10002044,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",False,South,,5485,Consumer,Orders,4/2/2018,2/4/2018,2018-02-04,Standard Class,Basic,Florida,Chairs,Chairs,Orders,419.136,0.2,0.2,1,0,0,-68.1096,-0.1625,-0.1625,-16.25,-0.1625,4,4,419.136,0,All Other
Furniture,Miramar,United States,,2022,DANA KAYDOS,DK-12895,Dana Kaydos,11/15/2018,11/15/2018,,CA-2018-108112,33023,2021,FUR-FU-10003553,"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",False,South,,4075,Consumer,Orders,20/11/2018,11/20/2018,2018-11-20,Standard Class,Basic,Florida,Furnishings,Furnishings,Orders,220.064,0.2,0.2,1,0,0,55.016,0.25,0.25,25,0.25,4,4,220.064,0,All Other
Furniture,Miramar,United States,,2022,DANA KAYDOS,DK-12895,Dana Kaydos,11/15/2018,11/15/2018,,CA-2018-108112,33023,2021,FUR-FU-10001488,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",False,South,,4076,Consumer,Orders,20/11/2018,11/20/2018,2018-11-20,Standard Class,Basic,Florida,Furnishings,Furnishings,Orders,339.136,0.2,0.2,1,0,0,0,0,0,0,0,4,4,339.136,0,All Other
Furniture,Hendersonville,United States,,2022,DARREN KOUTRAS,DK-12985,Darren Koutras,12/23/2018,12/23/2018,,CA-2018-140627,37075,2021,FUR-FU-10000087,"Executive Impressions 14"" Two-Color Numerals Wall Clock",False,South,,6223,Consumer,Orders,27/12/2018,12/27/2018,2018-12-27,Standard Class,Basic,Tennessee,Furnishings,Furnishings,Orders,72.704,0.2,0.2,1,0,0,19.0848,0.2625,0.2625,26.25,0.2625,4,4,72.704,0,All Other
Furniture,Fort Lauderdale,United States,,2022,HENIA ZYDLO,HZ-14950,Henia Zydlo,11/25/2018,11/25/2018,,CA-2018-124765,33311,2021,FUR-BO-10003965,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,False,South,,8661,Consumer,Orders,30/11/2018,11/30/2018,2018-11-30,Standard Class,Basic,Florida,Bookcases,Bookcases,Orders,723.92,0.2,0.2,1,0,0,-81.441000000,-0.1125,-0.1125,-11.25,-0.1125,5,5,723.92,0,All Other
Furniture,Greenville,United States,,2022,SCOT WOOTEN,SW-20245,Scot Wooten,2/25/2018,2/25/2018,,US-2018-134642,27834,2021,FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",False,South,,7535,Consumer,Orders,1/3/2018,3/1/2018,2018-03-01,Standard Class,Basic,North Carolina,Bookcases,Bookcases,Orders,231.92,0.2,0.2,1,0,0,5.798,0.025,0.025,2.5,0.025,5,5,231.92,0,All Other
